"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000239269",10.3317334779066,0.364107140749788,0.8737411482682,0.416721979354489,0.676881775782244,0.999990448165512,"RPSAP4"
"ENSG00000240914",8.83764512850326,0.0695836870663007,0.921442668935584,0.0755160243953985,0.939804148317,0.999990448165512,NA
"ENSG00000100528",2816.33487888593,-0.123835900981519,0.359136776169742,-0.344815427431998,0.730233134182214,0.999990448165512,"CNIH1"
"ENSG00000020577",1632.35066680925,0.233486850613156,0.212273079972241,1.09993622669294,0.271359909174941,0.999990448165512,"SAMD4A"
"ENSG00000198554",1441.80488093211,-0.0351293950411809,0.249828955811352,-0.140613784847691,0.888175057708881,0.999990448165512,"WDHD1"
"ENSG00000187105",22.7187881268511,-0.64071920416733,0.645636712621378,-0.992383474548585,0.321010497165579,0.999990448165512,"HEATR4"
"ENSG00000139926",2793.47017606283,-0.101753767241279,0.209230391214199,-0.486324030896207,0.626737443739883,0.999990448165512,"FRMD6"
"ENSG00000156411",648.579387474569,0.00192802787441228,0.233039486220958,0.00827339566215919,0.993398860642817,0.999990448165512,"ATP5MJ"
"ENSG00000100867",1288.8363550292,-0.680750784990116,0.266669187155207,-2.55279131515822,0.0106863502491715,0.999990448165512,"DHRS2"
"ENSG00000119655",4796.59008512137,0.0625015466938335,0.217156328464026,0.287818214352373,0.773485894033371,0.999990448165512,"NPC2"
"ENSG00000100603",1617.28995379498,0.0702153074673683,0.237566202079789,0.295561013530813,0.767565350725418,0.999990448165512,"SNW1"
"ENSG00000166428",6.68575607383319,0.207962321040206,1.02585683405792,0.20272060792107,0.839353414815881,0.999990448165512,"PLD4"
"ENSG00000136319",683.596801159536,0.0479997756893608,0.227157078421827,0.21130653740944,0.832648081982116,0.999990448165512,"TTC5"
"ENSG00000258768",46.5885470756228,-0.304602103376645,0.47484160095366,-0.641481501968004,0.521209895441458,0.999990448165512,NA
